Sample_ID	Exp_level	Cancer_type	Tissue_type
TCGA-EY-A1GF-01A-11R-A13S-07	2.7015311032035	UCEC	Cancer
TCGA-DJ-A1QN-01A-11R-A14Y-07	2.42185291533251	THCA	Cancer
TCGA-BG-A0VT-01A-11R-A10J-07	2.16945353146595	UCEC	Cancer
TCGA-24-1567-01A-01R-1566-13	0.574728671480873	OV	Cancer
TCGA-C5-A7CH-01A-11R-A33Z-07	1.08000860031395	CESC	Cancer
TCGA-BF-A1PU-01A-11R-A18S-07	0.477849453917068	SKCM	Cancer
TCGA-EA-A3HS-01A-11R-A213-07	7.13074464654349	CESC	Cancer
TCGA-44-6146-01A-11R-1755-07	2.3062779097331	LUAD	Cancer
TCGA-44-A4SU-01A-11R-A24X-07	2.87394974320387	LUAD	Cancer
TCGA-DJ-A1QQ-01A-11R-A14Y-07	1.01806590363852	THCA	Cancer
TCGA-D6-6823-01A-11R-1915-07	1.16116508874958	HNSC	Cancer
TCGA-CZ-5468-11A-01R-1503-07	1.9536345932414	KIRC	Normal
TCGA-CQ-5333-01A-01R-2403-07	13.8793066770309	HNSC	Cancer
TCGA-CM-6167-01A-11R-1653-07	3.45364528063031	COAD	Cancer
TCGA-B0-4813-01A-01R-1277-07	1.79406221969178	KIRC	Cancer
TCGA-O2-A52V-01A-31R-A262-07	1.95426247295975	LUSC	Cancer
TCGA-DU-6392-01A-11R-1708-07	11.7958456735142	LGG	Cancer
TCGA-CV-7253-01A-11R-2016-07	0.798288265822139	HNSC	Cancer
TCGA-61-1917-01A-01R-1568-13	1.67534996507128	OV	Cancer
TCGA-B6-A0IJ-01A-11R-A034-07	4.83223764092687	BRCA	Cancer
TCGA-BH-A1EO-11A-31R-A137-07	5.07858083300171	BRCA	Normal
TCGA-EB-A6R0-01A-12R-A32P-07	21.1299304734176	SKCM	Cancer
TCGA-85-6175-01A-11R-1820-07	4.2294629817324	LUSC	Cancer
TCGA-A7-A13F-11A-42R-A12P-07	5.30598794320822	BRCA	Normal
